gene	Flower	Meiocyte	Microspore	Veg	Spm	Preglobular	Globular	Heart	Torpedo	BentCotyledon	MatureGreen	Seedling
AT2G29930	0.218221	0.509595	0.385199	0	0	0	0	0	0	0	0.0742103	0
AT2G31770	2.61542	0.557855	7.08083	0.12598	0	0	0	0	0.0439958	0	0	0
AT2G31780	1.06882	0	2.8991	0.119939	0	0	0.0476587	0	0	0	0	0
AT2G31940	3.47298	0	0	0	0	1.88314	0.470263	0.0831257	0.7049475	0.76622	0	0
AT2G31981	0	0	0	0	0	0	0	0	0	0	0	0
AT2G32160	2.92576	0	0	0	0.0919011	0	0	0	0.1067159	0.099079	0	0.1195635
AT2G32190	0.837496	0.43322	0	0	0	44.1795	4.53438	1.50428	4.03249	1.87745	23.4096	0.540675
AT2G32273	0	0	0	0	0	0	0	0	0	0	0	0
AT2G32275	0	0	1.09939	0	0	0	0.148009	0.1327072	0.0490668	0	0	0
AT2G32460	6.91721	0.8115965	6.88577	517.358	156.64	0.560435	0.173223	0.06450485	0.3592385	0	0.0558515	0.713688
AT2G32690	163.884	4.55388	0.580339	0	0	18.1085	22.0609	6.95179	7.8088	4.06605	1.94584	177.99
AT2G32960	4.67884	0	0	0.169295	0	2.59089	1.64528	1.77279	1.200868	0.550678	0.738924	4.35891
AT2G33160	1.1262	0.3475715	12.3621	0	0	0.0910197	0.0997748	0.0399177	0.02982315	0	0.0526726	0
AT2G33655	0	0	0	0	0	0	0	0	0	0	0	0
AT2G33790	0	0.684378	0.168827	0	0	0	0	0.376389	3.87979	0.576444	0	4.41739
AT2G35080	1.832	19.71615	0	0	0	0	0	0	0	0	0	0
AT2G35590	0.112606	0	0.279105	0	0	0.0373185	0	0	0	0	0	0
AT2G36120	0.141092	8.499465	0	0	0	0	0	0	0	0	0	114.6564
AT2G37435	0.888658	0.599095	3.42611	0	0	0	0	0	0	0	0	0
AT2G37590	2.36636	0.1396735	0.0757857	1.53734	0	11.0304	3.6241	2.796465	7.221605	13.9843	3.25545	0.8400555
AT2G37830	0	28.4835	0	0	0	0	0	0	0	0	0	0
AT2G38590	0.421074	0.660785	0.89029	0	0	0	0	0	0	0	0	0
AT2G38990	0	0	0	0	0	0	0	0	0	0	0	0
AT2G38995	22.4695	0	0	0	0	0	0	0	0	0	0	0.2071635
AT2G39200	0.0364291	0.1785485	0	0	0	0	0	0.03970465	0	0	0	1.32447
AT2G39240	1.60649	0.55312	4.36288	0	0	0.265151	0.0826393	0.06257145	0	0	0	0
AT2G39540	0	0	0	0	0	0	0	0	0	0	0	0
AT2G40680	0	0	0.196753	0	0	0	0	0	0	0	0	0
AT2G40910	0.249844	0.6814185	0.646715	0	0	0	0	0	0	0	0.058862	0
AT2G41391	0	0	0	0	0	0	0	0	0	0	0	0
AT2G41470	3.68963	7.363985	3.06172	0	0.759987	0.350577	0.400454	0.1537185	0	0	0	0
AT2G41610	0.340279	0	0	0	0	0	0	0	0	0	0	0.9729545
AT2G42140	4.48895	0.31529	49.0352	2.01348	0	0	0	0	0	0	0.170466	0
AT2G42180	0.995207	0	0	0	0	0	0	0	0	0	0	0
AT2G42440	0.0735017	0	0.0949961	0	0	0	0	0	0	0	0	0.357265
AT2G42470	1.27301	0	2.9184	0	0	0	0	0	0	0	0	0
AT2G42720	2.04704	13.9502	5.59121	0	0.626959	6.19356	5.36022	3.71021	2.50342	2.05861	2.96938	0.2832085
AT2G42820	2.84342	0	0.0975321	0	0	0	0	0	0	0	0	0.37729
AT2G42830	9.44679	0.0882685	0	0	0	0.198791	0.211949	0.184099	0.2421865	0	0.0901185	0
AT2G43570	0.315766	0.1781595	0.650038	0	0	0	0	0.0159978	0.2435405	0.100845	1.1204	0.1779965
AT2G43670	0.248419	0.765265	0	0	0	0.417464	3.75419	0.6451225	0.2844235	0.273934	1.16457	3.690005
AT2G43890	0	0.0630065	0	0.22003	0	0	0	0	0	0	0	0
AT2G43960	1.38556	0.6204245	7.31582	0.220023	0	0	0	0	0	0	0	0
AT2G44010	0.5614	4.60152	0.332341	0	0	0	0	0.07067285	0	0	0.616863	1.944075
AT2G44240	0	0	5.16e-06	0	0	0	0	0.0406	0.0432	0	0	0
AT2G44540	0	0	0	0.682846	0	5.38253	8.7893	0.08466715	0	0.0840054	0.0544471	0
AT2G45650	18.3164	0.3209135	0	0	0	0	0.0514052	0.0345022	0	0	0	0
AT2G45660	20.4029	0.5349315	0	0.37324	0	0	0	0.2025155	0.4574075	0.157616	0	5.270485
AT2G45840	0.0715375	0.248737	0	0	0	0.0336064	0.0384624	0.01564935	0	0	0	0
AT2G46770	2.86203	0.115917	0	0	0	0	0	0	0	0	0	0.123997
AT2G46870	11.7045	0	1.26396	0	0	0	0	3.164205	4.97977	10.0946	14.8504	4.42898
AT2G46970	1.51024	0.3405955	0.112224	0	0	0	0	0.05653505	0.1717806	0.551769	0.787651	0.974072
AT2G48130	1.35111	0	22.2707	0	0	0	6.3933	7.524295	0.8943345	2.01125	2.04182	2.260745
AT3G02670	0.313747	2.029435	2.08467	0	0	18.2886	7.30776	1.99101	0.3797485	0	0.147277	0
AT3G03272	2.21215	0	83.4743	0	0	0.602515	0	0	0	0	0.559216	0
AT3G03290	0.0381135	5.73662	0.107471	0	0	0.0692428	0	0.02264295	0	0	0.137251	0
AT3G03660	0.0347739	0	0	0	0	10.435	9.25915	7.450715	9.94084	4.31878	17.4549	0
AT3G03760	24.2791	0.289402	2.1637	0	0	0.315528	1.19164	0.978864	0.904939	0.206016	0	0
AT3G04060	0.377254	0.173583	0.152673	0	0	0	0	0	0.0429414	0	0.081186	1.869495
AT3G04370	0	0.082406	0	0	0	0	0	0	0	0	1.26377	1.131433
AT3G04540	0	0	0	0	0	0	0	0	0	0	0	0
AT3G05155	0.0792893	0	0	0	0	0	0	0	0	0	0	0.288784
AT3G05400	10.5947	0.1862495	0	0	0	0	0.502606	0.03567155	0.05086845	0.0656505	0.0740878	1.41354
AT3G05450	0.232815	0.9869805	0.693585	0	0	0	0	0	0	0.126505	0	0
AT3G06433	1.49952	0.469979	1.49637	0.0651116	0	0.441105	1.04711	1.556715	2.060445	1.09437	0.602576	0.2024055
AT3G06435	1.19543	0.396718	0.133944	0	0	1.5406	0.866416	1.734075	2.83748	5.27047	11.2395	5.343855
AT3G06962	8.47676	17.80559	0	0	0	0	0	0	0	0	0	0
AT3G07970	1.20144	0	0	0	0	0	0	0	0	0	0.241676	0.793884
AT3G09450	0.0966961	0.5075805	0.0521725	0	0	0.086831	0	0.06089155	0.0201649	0.0343488	0.179064	0
AT3G09680	9.10083	2.07046	114.6	0	0.415894	37.1311	6.99744	0.9868085	0.479112	0	0	0.3283345
AT3G09930	2.33001	0	26.4084	0	0	0	0	0.010675	0	0	0	0
AT3G10116	9.61148	0	5.68182	0	0	0	0	0	0	0	0	0
AT3G10190	25.733	8.426425	73.283	0	0	31.1576	30.7449	21.28225	19.93995	16.0718	3.15435	6.23448
AT3G10240	0.250681	1.862068	0.191352	0	0	0.0588344	0	0.0375332	0	0	0.0811807	0
AT3G10750	0.538284	0.93245	1.47317	0	1.18668	0	0	0.06325665	0	0.137989	0.135435	0
AT3G10845	0.0223647	0.224532	0	0	0	0	0	0	0.0475475	0	0	0
AT3G11435	0	0	0	0	0	0	0	0	0	0	0	0
AT3G12900	0.074099	0.091143	0.162432	0	0	0	0	0.1004886	0.073187	0.143739	0	0
AT3G13400	85.7	12.6	2670	171	160	71.4	17	0.0149	0.683	0.702	1.67	0.2
AT3G14480	0.0698238	0.592245	0	0	0	0	0	0	0	0	0	0
AT3G15370	0	0	0.119275	0	0	0	0	0	0	0	0	0
AT3G15540	9.9765	0.658815	0	0	0	13.0206	33.864	11.0249	4.04832	6.15102	0.517301	6.70857
AT3G15680	20.0632	0	0	0	0	525.742	254.021	82.4571	143.251	193.076	67.1824	2.819715
AT3G16330	3.28065	0.515105	0	0	0	3.83758	0.691883	0.06427495	0.0481189	0.875846	1.7667	1.94315
AT3G16360	0.472597	0	0	0	0	0	0	0	0	0	0	2.07099
AT3G16460	1.62962	0.531164	0.0441656	0	0	0.02519	0.0156616	0.016119	0.701957	0.192287	0.108903	170.0835
AT3G16960	0.137699	0	0	0	0	0.390739	0	0	0	0	0	0
AT3G17261	0	0	0	0	0	0	0	0	0	0	0	0
AT3G17550	0.330834	0.95413	0.506049	0	0	0	0	0	0	0	0	0
AT3G18150	0.168009	0.1685445	0.156573	0	0	0	0	0	0	0	0	0
AT3G18260	2.53176	0	0	0	0	0	0	0	0	0	0	5.16573
AT3G18400	0.286919	0	0.124019	0	0	0	0	0	0.0263075	0	0.707106	2.558
AT3G18550	0.321752	0.312635	0	0.155881	83.6636	0	0	0.03404515	0.02131775	0	0	0
AT3G18610	5.12339	18.53275	21.7562	0	0	31.7043	13.3687	3.761475	1.072705	0.916451	8.95281	0
AT3G19070	1.44493	49.1329	0.0865121	0	0	1.47459	0.966912	0.7589075	0.2366385	0	0	0
AT3G20020	10.6256	62.55815	2.18922	0	3.40313	21.0659	25.6507	22.0877	15.8956	14.741	13.7946	0.329887
AT3G20750	0.511373	0	0	0	0	0.0785312	1.35845	2.04279	0.740855	0	0	0
AT3G21930	0.240265	0	11.8598	0	0	0	0	0	0	0	0	0
AT3G22740	4.17359	0	0.0572607	0	0	0	0	0	0	0	2.06412	1.391465
AT3G22910	2.62135	14.8177	2.94675	0	0	0.415409	0.114001	0.1450465	0.1053478	0.866257	0.0997188	1.1194035
AT3G23109	2.30781	0	0	0	0	0	0	0	0	0	0	0
AT3G24580	0.564006	1.223232	0	28.2342	0.550155	0	0	0	0	0	0	0
AT3G24640	3.41045	0	8.84647	0	0	0	0	0	0.315926	0	0	0
AT3G25080	0.724166	1.2111	1.33599	0	0	0.0653174	0	0.03181315	0	0	0	0
AT3G25090	0.611829	0.1341995	0.884808	0	0	0	0	0	0	0	0	0
AT3G25573	0.0765044	0.2949885	0	0	0	0	0	0	0	0	0	0
AT3G26010	1.52639	1.210605	7.17104	0	0	4.63028	2.01607	0.4045265	0.0678435	0.0727045	0.0733008	0
AT3G26110	2.70034	2.262245	123.165	21.1255	75.3286	49.8775	26.5661	0.447387	3.089205	2.93058	3.65372	0
AT3G26790	0.79359	0	0	0	0	15.8827	19.5008	26.64595	40.61945	54.5558	84.2713	0
AT3G26930	0.175046	0	0.430975	1.24583	28.651	0.30672	0.625847	0.0561718	0	0	0	0
AT3G26940	1.07622	0.844344	3.52176	0.181287	0	0.0369776	0	0	0	0	0	0
AT3G27150	0.265893	0.2078895	0	0.247418	0	0.398953	3.1976	4.141685	3.019075	0.744068	0.353888	1.459515
AT3G28243	0	0	0	0	0	0	0	0	0	0	0	0
AT3G28321	0	0	0	0	0	0	0	0	0	0	0	0
AT3G28330	1.07366	0.316539	4.55665	6.2586	0	0.533189	0.364801	0	0	0	0	0
AT3G28500	291.176	249.3755	574.508	0	8.81418	613.396	68.014	14.23545	8.700875	0.305689	1.4086	0
