gene_ID	Flower	Meiocyte	Microspore	Veg	Spm	Preglobular	Globular	Heart	Torpedo	BentCotyledon	MatureGreen	Seedling
AT4G19430	21.7551	0	0	0	0	0.101141	0	0	0	0	0.142071	0
AT4G19440	4.08783	91.10945	1.16537	4.00076	14.2763	2.39286	2.274	2.095795	1.42023	1.95136	2.46147	1.041336
AT4G19450	12.3434	2.616335	0.446374	0	0	17.6271	12.2144	9.13874	6.805165	4.15419	2.65934	4.444855
AT4G19452	0.102796	0.7335	0	0	0	0.120384	0.140521	0.03198725	0	0	0	0
AT4G19460	2.62152	0.5284041	1.02336	0	0	0.0972897	0	0.847218	2.1835	0.289888	0	0
AT4G19470	0.02095	0.536925	0	0	0	0	0	0	0	0	0	0
AT4G19480	0	0.439601	0	0	0	0	0	0	0	0	0	0
AT4G19490	13.9854	80.2652	2.16854	0.80356	0.302811	5.85569	7.10184	7.912795	5.866325	7.97001	9.17481	6.14075
AT4G19500	8.86229	43.53685	0.903832	68.1358	1.41191	1.80548	3.15881	4.545185	4.36855	6.86408	10.782	8.18696
AT4G19510	6.33455	35.58675	0.243453	98.5374	2.63259	0.654255	1.12441	1.721075	2.033545	4.39744	4.70216	5.41661
AT4G19520	0.305952	0.629728	0.154077	0	0	1.06913	0.266411	0.0827024	0.08054	0.353405	0.0924061	9.66342
AT4G19530	1.66969	1.736385	0.186425	0.237688	0	0.013422	0	0.0225812	0.0152132	0	0.14438	13.40185
AT4G19540	6.78938	35.7418	3.79069	0.59245	0	15.4975	15.9108	16.24585	20.84845	20.8213	19.5765	0.6857955
AT4G19550	12.217	9.690475	11.6264	2.54041	0.697759	8.02686	4.59126	6.97658	6.776455	4.17092	5.29837	0.8235495
AT4G19560	3.80032	30.24565	1.58998	0	0.344786	1.31122	1.98608	2.179865	1.30831	1.25514	1.52082	0
AT4G19570	0.468725	5.759045	0.408614	7.30695	2.27948	0	0	0.01371365	0	0.0450857	0	0.2155675
AT4G19580	0.09238	0.1138445	0	0.143678	0	0	0	0.03147465	0	0	0	0
AT4G19590	2.5123	54.48485	1.70974	0.246527	1.17118	5.58715	5.51659	6.79028	5.9158	6.02409	4.33808	0
AT4G19600	14.4472	108.662	8.6159	98.3279	82.6848	10.6671	10.2927	9.239145	7.348885	10.5042	10.6305	7.518805
AT4G19610	9.61398	12.40535	1.95939	1.26339	0	12.5773	12.4009	10.31944	5.942945	7.90755	8.97069	4.42991
AT4G19620	12.8153	2.71437	0	0	0	0	0	0	0	0	0	0
AT4G19630	3.00721	10.222395	22.5634	0	1.23247	9.79325	4.56846	2.181795	1.027885	0.315838	0	0
AT4G19633	0	0	0	0	0	0	0	0.1108155	0	0	0	0
AT4G19640	33.1025	130.7445	26.3156	13.5427	24.6063	113.169	102.952	66.1485	68.6863	59.8178	149.463	28.16985
AT4G19645	23.0029	0	0.399473	0	38.3853	0	0.0476362	0.767608	3.590535	7.43343	2.99157	0.551805
AT4G19650	1.98126	11.42968	0.571184	0	0	2.78528	4.33066	3.25817	2.374975	2.2894	2.23564	0.723094
AT4G19660	7.93613	53.06455	0.66708	0	0	2.23505	2.66877	3.25865	2.35041	2.21522	2.37958	5.883285
AT4G19670	18.2567	1.4246065	2.29961	0.0974073	0.0754721	3.74919	3.97496	5.004235	4.268005	5.8008	7.33785	6.942855
AT4G19680	0	0	0	0	0	0	0	0	0	0	0	1.74616
AT4G19690	6.00336	0	0	0	0	0	0	0	0	0	0	1.437496
AT4G19700	16.5905	0.74155	0.207026	0.719026	0	8.08605	6.60322	11.224475	24.95495	22.3425	75.0669	6.587655
AT4G19710	14.1883	32.99525	2.06961	0	0	14.9395	17.085	19.07575	15.46145	17.2057	9.17563	6.53667
AT4G19720	0.0223445	0.50201	0	0	0	0	0	0	0	0	0.105748	0.6079065
AT4G19730	0	0.0783685	0.142291	0	0	0	0	0	0	0	0	0
AT4G19740	0.0769431	1.770034	0	0	0	0	0	0	0	0	0	0
AT4G19750	0	0	0.167189	0	0	0	0	0	0	0	0	0
AT4G19760	0	0	0.226278	0	0	0	0	0	0	0	0	0
AT4G19770	0	0.254399	0	0	0	0	0	0	0	0	0	0
AT4G19780	0	0.496576	0	0	0	0	0	0	0	0	0	0
AT4G19790	0	0	0	0	0	0	0	0	0	0	0	0
AT4G19800	0	0.336847	0.198995	0	0	0	0	0	0	0	0	0
AT4G19810	0.622748	0	0	0	0	0	0	0	0	0	0	16.84275
AT4G19820	0.193998	0.84155	0	0	0	0	0	0	0.02396555	0	0	0.898065
AT4G19829	0	0	0	0	0	0	0.550874	0.4616565	0.752373	0	0	0
AT4G19830	6.35949	5.933455	4.74328	0	3.04413	4.1656	4.38128	5.64723	7.75442	7.07602	11.5397	1.867355
AT4G19840	19.5772	0.2700385	0	0	0	0	0	0	0	0	0	23.13005
AT4G19850	0.78821	0.276843	0	0	0	0.336099	0.469453	0.481421	0.6254505	0.960765	1.27408	0
AT4G19860	16.7752	14.6041	4.10872	14.6511	3.75118	7.76376	11.3875	17.83605	25.89125	36.482	92.3986	17.3933
AT4G19865	3.5765	12.9988	1.05853	0	0	4.91451	4.16011	3.412585	3.0401	2.8587	2.25879	1.796206
AT4G19870	8.73386	28.82975	2.94918	0	0	6.04347	5.99532	6.772485	6.44981	8.96473	12.3057	2.2004
